"pressure","profile","value"
"94830",30,"id2117_2003",1027.04529563326
"94831",31,"id2117_2003",1027.05009090552
"94832",32,"id2117_2003",1027.05488617779
"94833",33,"id2117_2003",1027.05968145007
"94834",34,"id2117_2003",1027.06447672235
"94835",35,"id2117_2003",1027.06927199464
"94836",36,"id2117_2003",1027.07406726693
"94837",37,"id2117_2003",1027.07886253922
"94838",38,"id2117_2003",1027.08365781152
"94839",39,"id2117_2003",1027.08845308381
"94840",40,"id2117_2003",1027.09324835611
"94841",41,"id2117_2003",1027.0980436284
"94842",42,"id2117_2003",1027.1028389007
"94843",43,"id2117_2003",1027.107634173
"100804",4,"id2145_2003",1025.68634656944
"100805",5,"id2145_2003",1025.78745393987
"100806",6,"id2145_2003",1025.82018234655
"100807",7,"id2145_2003",1025.84017428299
"100808",8,"id2145_2003",1025.83987422327
"100809",9,"id2145_2003",1025.86653058319
"100810",10,"id2145_2003",1025.91544458472
"100811",11,"id2145_2003",1025.95547794802
"100812",12,"id2145_2003",1026.18011593933
"100813",13,"id2145_2003",1026.33305456434
"100814",14,"id2145_2003",1026.41867010301
"100815",15,"id2145_2003",1026.43284267698
"100816",16,"id2145_2003",1026.45301166801
"100817",17,"id2145_2003",1026.65823529621
"100818",18,"id2145_2003",1026.69593162129
"100819",19,"id2145_2003",1026.84870072065
"100820",20,"id2145_2003",1026.89606988961
"100821",21,"id2145_2003",1026.91313682544
"100822",22,"id2145_2003",1026.932606933
"100823",23,"id2145_2003",1026.9386443205
"100824",24,"id2145_2003",1026.94427213088
"100825",25,"id2145_2003",1026.94891566871
"100826",26,"id2145_2003",1026.95371331043
"100827",27,"id2145_2003",1026.95851068541
"100828",28,"id2145_2003",1026.96330793109
"100829",29,"id2145_2003",1026.96810509577
"100830",30,"id2145_2003",1026.97290220458
"100831",31,"id2145_2003",1026.97769927473
"100832",32,"id2145_2003",1026.982496319
"100833",33,"id2145_2003",1026.98729334607
"100834",34,"id2145_2003",1026.99209036181
"100835",35,"id2145_2003",1026.99688737052
"100836",36,"id2145_2003",1027.00168437528
"100837",37,"id2145_2003",1027.00648137813
"100838",38,"id2145_2003",1027.01127838024
"100839",39,"id2145_2003",1027.01607538216
"100840",40,"id2145_2003",1027.02087238404
